"No.","Time","Source","Destination","Length","Protocol","Info","New Column"
"161","1.950709","IntelCor_e3:85:4b","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=1624, FN=0, Flags=.p..R..TC","161"
"234","2.466040","D-LinkIn_80:0f:6b","IntelCor_18:89:2d","289","802.11","QoS Data, SN=3150, FN=0, Flags=.p..R.F.C","234"
"244","2.467111","D-LinkIn_80:0f:6b","IntelCor_18:89:2d","804","802.11","QoS Data, SN=3152, FN=0, Flags=.p..R.F.C","244"
"383","4.097796","XiaomiCo_12:de:11","IntelCor_09:c9:5a","172","802.11","QoS Data, SN=1386, FN=0, Flags=.p..R.F.C","383"
"391","4.098609","XiaomiCo_12:de:11","IntelCor_18:89:2d","172","802.11","QoS Data, SN=1837, FN=0, Flags=.p..R.F.C","391"
"398","4.173635","61:b0:7a:53:11:9d","74:a5:29:92:70:9d","194","802.11","Data, SN=1379, FN=14, Flags=.p..R..T.","398"
"429","4.404939","D-LinkIn_80:0f:6b","IntelCor_09:c9:5a","211","802.11","QoS Data, SN=1387, FN=0, Flags=.p..R.F.C","429"
"450","4.406962","IntelCor_e3:85:4b","D-LinkIn_80:0f:6b","152","802.11","QoS Data, SN=1632, FN=0, Flags=.p..R..TC","450"
"858","6.240541","Apple_77:2c:75","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=440, FN=0, Flags=.p..R..TC","858"
"1077","7.728570","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","91","802.11","Action, SN=266, FN=0, Flags=....R...C","1077"
"1176","8.865881","D-LinkIn_80:0f:6b","Motorola_38:78:35","610","802.11","QoS Data, SN=934, FN=0, Flags=.p..R.F.C","1176"
"1183","8.876194","D-LinkIn_80:0f:6b","Motorola_38:78:35","638","802.11","QoS Data, SN=935, FN=0, Flags=.p..R.F.C","1183"
"1185","8.876780","D-LinkIn_80:0f:6b","Motorola_38:78:35","638","802.11","QoS Data, SN=935, FN=0, Flags=.p..R.F.C","1185"
"1187","8.877463","D-LinkIn_80:0f:6b","Motorola_38:78:35","638","802.11","QoS Data, SN=935, FN=0, Flags=.p..R.F.C","1187"
"1189","8.878228","D-LinkIn_80:0f:6b","Motorola_38:78:35","638","802.11","QoS Data, SN=935, FN=0, Flags=.p..R.F.C","1189"
"1191","8.878884","D-LinkIn_80:0f:6b","Motorola_38:78:35","638","802.11","QoS Data, SN=935, FN=0, Flags=.p..R.F.C","1191"
"1276","9.806685","42:a5:89:7d:aa:ff","aa:6b:f2:5a:2e:96","82","802.11","Null function (No data), SN=648, FN=0, Flags=....R.F.C","1276"
"1285","9.933997","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","132","802.11","QoS Data, SN=1636, FN=0, Flags=.p..R.F.C","1285"
"1287","9.934508","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","132","802.11","QoS Data, SN=1636, FN=0, Flags=.p..R.F.C","1287"
"1289","9.935013","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","132","802.11","QoS Data, SN=1636, FN=0, Flags=.p..R.F.C","1289"
"1300","10.036599","D-LinkIn_80:0f:6b","IntelCor_18:89:2d","132","802.11","QoS Data, SN=1840, FN=0, Flags=.p..R.F.C","1300"
"1527","11.368218","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=827, FN=0, Flags=.p..R..TC","1527"
"1548","11.504168","Apple_77:2c:75","D-LinkIn_80:0f:6b","84","802.11","QoS Null function (No data), SN=4004, FN=0, Flags=...PR..TC","1548"
"1549","11.504257","Apple_77:2c:75","D-LinkIn_80:0f:6b","84","802.11","QoS Null function (No data), SN=4004, FN=0, Flags=...PR..TC","1549"
"1631","11.882299","D-LinkIn_80:0f:6b","Apple_77:2c:75","152","802.11","QoS Data, SN=1761, FN=0, Flags=.p..R.F.C","1631"
"1633","11.882577","D-LinkIn_80:0f:6b","Apple_77:2c:75","152","802.11","QoS Data, SN=1761, FN=0, Flags=.p..R.F.C","1633"
"1635","11.882944","D-LinkIn_80:0f:6b","Apple_77:2c:75","152","802.11","QoS Data, SN=1761, FN=0, Flags=.p..R.F.C","1635"
"1637","11.883485","D-LinkIn_80:0f:6b","Apple_77:2c:75","152","802.11","QoS Data, SN=1761, FN=0, Flags=.p..R.F.C","1637"
"1639","11.883848","D-LinkIn_80:0f:6b","Apple_77:2c:75","160","802.11","QoS Data, SN=1761, FN=0, Flags=.p..R.F.C","1639"
"1715","12.078681","Apple_77:2c:75","D-LinkIn_80:0f:6b","253","802.11","QoS Data, SN=471, FN=0, Flags=.p..R..T.","1715"
"1716","12.078689","Apple_77:2c:75","D-LinkIn_80:0f:6b","1508","802.11","QoS Data, SN=472, FN=0, Flags=.p..R..T.","1716"
"1979","12.808972","XiaomiCo_9a:23:d3","D-LinkIn_80:0f:6b","853","802.11","QoS Data, SN=3213, FN=0, Flags=.p..R..TC","1979"
"1980","12.809693","XiaomiCo_9a:23:d3","D-LinkIn_80:0f:6b","853","802.11","QoS Data, SN=3213, FN=0, Flags=.p..R..TC","1980"
"2014","12.955191","D-LinkIn_80:0f:6b","XiaomiCo_9a:23:d3","1146","802.11","QoS Data, SN=492, FN=0, Flags=.p..R.F.C","2014"
"2028","12.975231","D-LinkIn_80:0f:6b","Motorola_38:78:35","160","802.11","QoS Data, SN=161, FN=0, Flags=.p..R.F.C","2028"
"2058","13.120125","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=847, FN=0, Flags=.p..R..TC","2058"
"2063","13.121145","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=847, FN=0, Flags=.p..R..TC","2063"
"2127","13.353028","43:66:d4:7f:81:e4","dd:2d:e0:3b:07:6b","385","802.11","QoS Data, SN=2546, FN=0, Flags=.p..R..T.","2127"
"2144","13.365289","Apple_77:2c:75","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=499, FN=0, Flags=.p..R..T.","2144"
"2145","13.365293","Apple_77:2c:75","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=500, FN=0, Flags=.p..R..T.","2145"
"2211","13.489924","Apple_77:2c:75","D-LinkIn_80:0f:6b","166","802.11","QoS Data, SN=502, FN=0, Flags=.p..R..T.","2211"
"2212","13.489926","Apple_77:2c:75","D-LinkIn_80:0f:2b","205","802.11","QoS Data, SN=501, FN=5, Flags=.p..R..T.","2212"
"2251","13.728183","D-LinkIn_80:0f:6b","Motorola_38:78:35","503","802.11","QoS Data, SN=188, FN=0, Flags=.p..R.F.C","2251"
"2253","13.728921","D-LinkIn_80:0f:6b","Motorola_38:78:35","503","802.11","QoS Data, SN=188, FN=0, Flags=.p..R.F.C","2253"
"2255","13.731771","D-LinkIn_80:0f:6b","Motorola_38:78:35","503","802.11","QoS Data, SN=188, FN=0, Flags=.p..R.F.C","2255"
"2261","13.740520","Motorola_38:78:35","D-LinkIn_80:0f:6b","163","802.11","QoS Data, SN=872, FN=0, Flags=.p..R..TC","2261"
"2262","13.740785","Motorola_38:78:35","D-LinkIn_80:0f:6b","163","802.11","QoS Data, SN=872, FN=0, Flags=.p..R..TC","2262"
"2263","13.741762","Motorola_38:78:35","D-LinkIn_80:0f:6b","163","802.11","QoS Data, SN=872, FN=0, Flags=.p..R..TC","2263"
"2264","13.741925","Motorola_38:78:35","D-LinkIn_80:0f:6b","163","802.11","QoS Data, SN=872, FN=0, Flags=.p..R..TC","2264"
"2265","13.746414","Motorola_38:78:35","D-LinkIn_80:0f:6b","163","802.11","QoS Data, SN=872, FN=0, Flags=.p..R..TC","2265"
"2275","13.808121","D-LinkIn_80:0f:6b","Motorola_38:78:35","160","802.11","QoS Data, SN=189, FN=0, Flags=.p..R.F.C","2275"
"2291","13.864615","D-LinkIn_80:0f:6b","Motorola_38:78:35","1500","802.11","QoS Data, SN=191, FN=0, Flags=.p..R.F.C","2291"
"2302","13.866350","D-LinkIn_80:0f:6b","Motorola_38:78:35","989","802.11","QoS Data, SN=193, FN=0, Flags=.p..R.F.C","2302"
"2324","13.958828","D-LinkIn_80:0f:6b","Motorola_38:78:35","190","802.11","QoS Data, SN=196, FN=0, Flags=.p..R.F.C","2324"
"2329","13.960916","D-LinkIn_80:0f:6b","Motorola_38:78:35","194","802.11","QoS Data, SN=197, FN=0, Flags=.p..R.F.C","2329"
"2331","13.961609","D-LinkIn_80:0f:6b","Motorola_38:78:35","194","802.11","QoS Data, SN=197, FN=0, Flags=.p..R.F.C","2331"
"2333","13.962515","D-LinkIn_80:0f:6b","Motorola_38:78:35","194","802.11","QoS Data, SN=197, FN=0, Flags=.p..R.F.C","2333"
"2336","13.963789","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=884, FN=0, Flags=.p..R..TC","2336"
"2337","13.964041","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=884, FN=0, Flags=.p..R..TC","2337"
"2338","13.964195","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=884, FN=0, Flags=.p..R..TC","2338"
"2339","13.964468","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=884, FN=0, Flags=.p..R..TC","2339"
"2340","13.966252","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=884, FN=0, Flags=.p..R..TC","2340"
"2341","13.967504","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=884, FN=0, Flags=.p..R..TC","2341"
"2342","13.971960","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=884, FN=0, Flags=.p..R..TC","2342"
"2343","13.972168","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=884, FN=0, Flags=.p..R..TC","2343"
"2344","13.972274","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=884, FN=0, Flags=.p..R..TC","2344"
"2345","13.972808","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=884, FN=0, Flags=.p..R..TC","2345"
"2346","13.973379","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=884, FN=0, Flags=.p..R..TC","2346"
"2347","13.975382","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=884, FN=0, Flags=.p..R..TC","2347"
"2372","14.206776","HewlettP_a9:6f:a7","IntelCor_b1:ec:1b","736","802.11","QoS Data, SN=1353, FN=0, Flags=.p..R.F.C","2372"
"2389","14.337291","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1654, FN=0, Flags=.p..R.F.C","2389"
"2390","14.337294","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1655, FN=0, Flags=.pm.R.F.C","2390"
"2391","14.337437","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1654, FN=0, Flags=.p..R.F.C","2391"
"2392","14.337440","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1655, FN=0, Flags=.pm.R.F.C","2392"
"2393","14.337579","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1654, FN=0, Flags=.p..R.F.C","2393"
"2394","14.337581","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1655, FN=0, Flags=.pm.R.F.C","2394"
"2395","14.337726","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1654, FN=0, Flags=.p..R.F.C","2395"
"2396","14.337729","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1655, FN=0, Flags=.pm.R.F.C","2396"
"2397","14.337886","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1654, FN=0, Flags=.p..R.F.C","2397"
"2398","14.337889","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1655, FN=0, Flags=.pm.R.F.C","2398"
"2399","14.338073","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1654, FN=0, Flags=.p..R.F.C","2399"
"2400","14.338076","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1655, FN=0, Flags=.pm.R.F.C","2400"
"2401","14.338238","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1654, FN=0, Flags=.p..R.F.C","2401"
"2402","14.338240","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1655, FN=0, Flags=.pm.R.F.C","2402"
"2403","14.338490","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1654, FN=0, Flags=.p..R.F.C","2403"
"2404","14.338491","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1655, FN=0, Flags=.pm.R.F.C","2404"
"2405","14.338925","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1654, FN=0, Flags=.p..R.F.C","2405"
"2406","14.338927","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1655, FN=0, Flags=.pm.R.F.C","2406"
"2407","14.339140","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1654, FN=0, Flags=.p..R.F.C","2407"
"2408","14.339470","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1654, FN=0, Flags=.p..R.F.C","2408"
"2409","14.340594","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1654, FN=0, Flags=.p..R.F.C","2409"
"2411","14.342721","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1654, FN=0, Flags=.p..R.F.C","2411"
"2413","14.344498","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1654, FN=0, Flags=.p..R.F.C","2413"
"2415","14.346500","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1654, FN=0, Flags=.p..R.F.C","2415"
"2417","14.348367","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1654, FN=0, Flags=.p..R.F.C","2417"
"2419","14.348866","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1655, FN=0, Flags=.pm.R.F.C","2419"
"2421","14.349699","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1655, FN=0, Flags=.pm.R.F.C","2421"
"2423","14.351194","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1655, FN=0, Flags=.pm.R.F.C","2423"
"2425","14.353213","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1655, FN=0, Flags=.pm.R.F.C","2425"
"2427","14.355094","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1655, FN=0, Flags=.pm.R.F.C","2427"
"2429","14.357101","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1655, FN=0, Flags=.pm.R.F.C","2429"
"2431","14.358666","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1655, FN=0, Flags=.pm.R.F.C","2431"
"2498","14.454047","b7:fa:8a:31:23:28","89:eb:99:b9:dd:84","349","802.11","QoS Data, SN=2903, FN=2, Flags=.p..R..T.","2498"
"2616","14.634870","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=926, FN=0, Flags=.p..R..TC","2616"
"2617","14.634875","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=927, FN=0, Flags=.p..R..TC","2617"
"2618","14.634877","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=928, FN=0, Flags=.p..R..TC","2618"
"2619","14.634880","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=929, FN=0, Flags=.p..R..TC","2619"
"2620","14.634883","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=930, FN=0, Flags=.p..R..TC","2620"
"2621","14.634886","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=931, FN=0, Flags=.p..R..TC","2621"
"2622","14.634889","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=932, FN=0, Flags=.p..R..TC","2622"
"2623","14.634892","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=933, FN=0, Flags=.p..R..TC","2623"
"2624","14.635354","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=926, FN=0, Flags=.p..R..TC","2624"
"2625","14.635357","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=927, FN=0, Flags=.p..R..TC","2625"
"2626","14.635359","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=928, FN=0, Flags=.p..R..TC","2626"
"2627","14.635361","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=929, FN=0, Flags=.p..R..TC","2627"
"2628","14.635363","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=930, FN=0, Flags=.p..R..TC","2628"
"2629","14.635365","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=931, FN=0, Flags=.p..R..TC","2629"
"2630","14.635367","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=932, FN=0, Flags=.p..R..TC","2630"
"2631","14.635369","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=933, FN=0, Flags=.p..R..TC","2631"
"2633","14.635694","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=926, FN=0, Flags=.p..R..TC","2633"
"2634","14.635697","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=927, FN=0, Flags=.p..R..TC","2634"
"2635","14.635699","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=928, FN=0, Flags=.p..R..TC","2635"
"2636","14.635701","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=929, FN=0, Flags=.p..R..TC","2636"
"2637","14.635703","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=930, FN=0, Flags=.p..R..TC","2637"
"2638","14.635705","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=931, FN=0, Flags=.p..R..TC","2638"
"2639","14.635706","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=932, FN=0, Flags=.p..R..TC","2639"
"2640","14.635708","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=933, FN=0, Flags=.p..R..TC","2640"
"2641","14.635710","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=934, FN=0, Flags=.p..R..TC","2641"
"2736","14.654040","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=926, FN=0, Flags=.p..R..TC","2736"
"2737","14.654047","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=927, FN=0, Flags=.p..R..TC","2737"
"2738","14.654049","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=928, FN=0, Flags=.p..R..TC","2738"
"2739","14.654051","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=929, FN=0, Flags=.p..R..TC","2739"
"2740","14.654053","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=930, FN=0, Flags=.p..R..TC","2740"
"2741","14.654055","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=931, FN=0, Flags=.p..R..TC","2741"
"2742","14.654058","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=932, FN=0, Flags=.p..R..TC","2742"
"2743","14.654060","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=933, FN=0, Flags=.p..R..TC","2743"
"2744","14.654062","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=934, FN=0, Flags=.p..R..TC","2744"
"3237","15.991215","D-LinkIn_80:0f:6b","Motorola_38:78:35","152","802.11","QoS Data, SN=239, FN=0, Flags=.p..R.F.C","3237"
"3239","15.991656","D-LinkIn_80:0f:6b","Motorola_38:78:35","152","802.11","QoS Data, SN=239, FN=0, Flags=.p..R.F.C","3239"
"3241","15.992351","D-LinkIn_80:0f:6b","Motorola_38:78:35","152","802.11","QoS Data, SN=239, FN=0, Flags=.p..R.F.C","3241"
"3312","16.328344","D-LinkIn_80:0f:6b","Motorola_38:78:35","464","802.11","QoS Data, SN=247, FN=0, Flags=.p..R.F.C","3312"
"3314","16.328858","D-LinkIn_80:0f:6b","Motorola_38:78:35","464","802.11","QoS Data, SN=247, FN=0, Flags=.p..R.F.C","3314"
"3336","16.444299","D-LinkIn_80:0f:6b","Motorola_38:78:35","194","802.11","QoS Data, SN=250, FN=0, Flags=.p..R.F.C","3336"
"3341","16.445037","D-LinkIn_80:0f:6b","Motorola_38:78:35","152","802.11","QoS Data, SN=251, FN=0, Flags=.p..R.F.C","3341"
"3343","16.445282","D-LinkIn_80:0f:6b","Motorola_38:78:35","152","802.11","QoS Data, SN=251, FN=0, Flags=.p..R.F.C","3343"
"3363","16.613645","D-LinkIn_80:0f:6b","Motorola_38:78:35","486","802.11","QoS Data, SN=255, FN=0, Flags=.p..R.F.C","3363"
"3367","16.674142","Motorola_38:78:35","D-LinkIn_80:0f:6b","168","802.11","QoS Data, SN=1109, FN=0, Flags=.p..R..TC","3367"
"3368","16.677588","Motorola_38:78:35","D-LinkIn_80:0f:6b","168","802.11","QoS Data, SN=1109, FN=0, Flags=.p..R..TC","3368"
"3401","16.784876","Motorola_38:78:35","D-LinkIn_80:0f:6b","1068","802.11","QoS Data, SN=1117, FN=0, Flags=.p..R..TC","3401"
"3402","16.785330","Motorola_38:78:35","D-LinkIn_80:0f:6b","1068","802.11","QoS Data, SN=1117, FN=0, Flags=.p..R..TC","3402"
"3403","16.786185","Motorola_38:78:35","D-LinkIn_80:0f:6b","1068","802.11","QoS Data, SN=1117, FN=0, Flags=.p..R..TC","3403"
"3404","16.789210","Motorola_38:78:35","D-LinkIn_80:0f:6b","1068","802.11","QoS Data, SN=1117, FN=0, Flags=.p..R..TC","3404"
"3470","17.417338","D-LinkIn_80:0f:6b","Motorola_38:78:35","152","802.11","QoS Data, SN=265, FN=0, Flags=.p..R.F.C","3470"
"3472","17.418154","D-LinkIn_80:0f:6b","Motorola_38:78:35","152","802.11","QoS Data, SN=265, FN=0, Flags=.p..R.F.C","3472"
"3474","17.418848","D-LinkIn_80:0f:6b","Motorola_38:78:35","152","802.11","QoS Data, SN=265, FN=0, Flags=.p..R.F.C","3474"
"3476","17.421029","D-LinkIn_80:0f:6b","Motorola_38:78:35","152","802.11","QoS Data, SN=265, FN=0, Flags=.p..R.F.C","3476"
"3481","17.424971","D-LinkIn_80:0f:6b","Motorola_38:78:35","152","802.11","QoS Data, SN=266, FN=0, Flags=.p..R.F.C","3481"
"3483","17.425353","D-LinkIn_80:0f:6b","Motorola_38:78:35","152","802.11","QoS Data, SN=266, FN=0, Flags=.p..R.F.C","3483"
"3517","17.557651","D-LinkIn_80:0f:6b","Motorola_38:78:35","152","802.11","QoS Data, SN=267, FN=0, Flags=.p..R.F.C","3517"
"3519","17.558100","D-LinkIn_80:0f:6b","Motorola_38:78:35","152","802.11","QoS Data, SN=267, FN=0, Flags=.p..R.F.C","3519"
"3521","17.558465","D-LinkIn_80:0f:6b","Motorola_38:78:35","152","802.11","QoS Data, SN=267, FN=0, Flags=.p..R.F.C","3521"
"3538","17.613224","D-LinkIn_80:0f:6b","Motorola_38:78:35","181","802.11","QoS Data, SN=269, FN=0, Flags=.p..R.F.C","3538"
"3540","17.613668","D-LinkIn_80:0f:6b","Motorola_38:78:35","181","802.11","QoS Data, SN=269, FN=0, Flags=.p..R.F.C","3540"
"3553","17.635998","D-LinkIn_80:0f:6b","Motorola_38:78:35","1055","802.11","QoS Data, SN=270, FN=0, Flags=.p..R.F.C","3553"
"3554","17.636007","D-LinkIn_80:0f:6b","Motorola_38:78:35","352","802.11","QoS Data, SN=271, FN=0, Flags=.p..R.F.C","3554"
"3556","17.636449","D-LinkIn_80:0f:6b","Motorola_38:78:35","1055","802.11","QoS Data, SN=270, FN=0, Flags=.p..R.F.C","3556"
"3557","17.636461","D-LinkIn_80:0f:6b","Motorola_38:78:35","352","802.11","QoS Data, SN=271, FN=0, Flags=.p..R.F.C","3557"
"3559","17.636969","D-LinkIn_80:0f:6b","Motorola_38:78:35","1055","802.11","QoS Data, SN=270, FN=0, Flags=.p..R.F.C","3559"
